MSA Code,MSA Title,net_migration_rate_2020_2021,net_migration_rate_2021_2022,net_migration_rate_2022_2023,avg_net_migration_rate,avg_inflow_agi_2020_2021,avg_inflow_agi_2021_2022,avg_inflow_agi_2022_2023,avg_inflow_agi,migration_trend
C4554,"The Villages, FL MSA",51.99,52.25,37.6,47.28,96.9,121.4,106.0,108.1,decelerating
C3482,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",45.12,45.14,41.0,43.75,85.0,94.0,90.1,89.7,decelerating
C2614,"Homosassa Springs, FL MSA",39.88,40.23,34.49,38.2,62.9,70.4,70.6,68.0,decelerating
C3610,"Ocala, FL MSA",34.78,40.3,37.48,37.52,60.0,70.5,65.8,65.4,decelerating
C2760,"Jefferson, GA MicroSA",31.82,34.01,40.26,35.36,69.1,86.8,77.3,77.7,accelerating
C2946,"Lakeland-Winter Haven, FL MSA",36.64,37.91,29.66,34.74,52.1,56.1,56.7,55.0,decelerating
C1890,"Crossville, TN MicroSA",36.31,39.97,26.22,34.17,67.6,77.1,74.2,73.0,decelerating
C1930,"Daphne-Fairhope-Foley, AL MSA",33.2,34.53,26.3,31.34,85.0,92.6,84.8,87.5,decelerating
C2462,"Greeneville, TN MicroSA",33.3,31.3,27.74,30.78,55.5,61.7,66.6,61.3,decelerating
C3946,"Punta Gorda, FL MSA",38.09,33.61,19.98,30.56,83.1,118.2,97.2,99.5,decelerating
C4394,"Spearfish, SD MicroSA",23.94,36.75,30.9,30.53,104.0,106.7,93.3,101.3,decelerating
C1966,"Deltona-Daytona Beach-Ormond Beach, FL MSA",33.81,33.89,23.79,30.5,76.8,84.4,77.5,79.6,decelerating
C3894,"Port St. Lucie, FL MSA",33.32,33.12,25.06,30.5,99.4,116.8,95.6,103.9,decelerating
C4390,"Spartanburg, SC MSA",26.59,35.0,29.4,30.33,55.1,58.8,61.4,58.4,decelerating
C4176,"Sandpoint, ID MicroSA",39.49,31.18,19.46,30.04,94.1,106.9,93.4,98.1,decelerating
C3546,"Newport, TN MicroSA",27.18,36.76,25.5,29.81,47.2,48.0,46.8,47.3,decelerating
C4270,"Sebring, FL MSA",34.7,34.27,20.27,29.75,52.8,62.5,56.5,57.3,decelerating
C1062,"Albemarle, NC MicroSA",29.92,27.83,30.09,29.28,53.3,63.9,64.8,60.7,accelerating
C2942,"Lake Havasu City-Kingman, AZ MSA",34.1,28.57,25.14,29.27,63.1,76.7,68.2,69.3,decelerating
C3734,"Palm Bay-Melbourne-Titusville, FL MSA",30.25,32.45,24.78,29.16,76.4,87.4,81.1,81.6,decelerating
C3028,"Lewisburg, TN MicroSA",25.54,28.37,31.87,28.59,56.4,86.7,61.4,68.2,accelerating
C2998,"Lawrenceburg, TN MicroSA",31.02,29.59,22.74,27.78,62.3,54.1,52.4,56.3,decelerating
C4154,"Salisbury, MD-DE MSA",32.13,27.76,22.61,27.5,97.8,106.9,94.2,99.6,decelerating
C4110,"St. George, UT MSA",34.9,25.09,22.41,27.47,87.7,115.6,82.8,95.4,decelerating
C3722,"Pahrump, NV MicroSA",35.01,27.95,19.16,27.37,63.8,69.2,63.6,65.5,decelerating
C3926,"Prineville, OR MicroSA",30.89,28.42,22.49,27.27,76.1,90.7,82.4,83.1,decelerating
C2806,"Kalispell, MT MicroSA",35.98,26.02,19.48,27.16,95.6,125.6,91.5,104.2,decelerating
